Date,Price (Rs)
01-01-2019,71.22
02-01-2019,71.22
03-01-2019,71.22
04-01-2019,71.01
05-01-2019,70.85
06-01-2019,70.85
07-01-2019,71.07
08-01-2019,71.07
09-01-2019,71.07
10-01-2019,71.47
11-01-2019,71.67
12-01-2019,71.87
13-01-2019,72.4
14-01-2019,72.79
15-01-2019,73.08
16-01-2019,73
17-01-2019,73.15
18-01-2019,73.23
19-01-2019,73.23
20-01-2019,73.65
21-01-2019,73.85
22-01-2019,73.99
23-01-2019,73.99
24-01-2019,73.99
25-01-2019,73.99
26-01-2019,73.99
27-01-2019,73.99
28-01-2019,73.99
29-01-2019,73.9
30-01-2019,73.9
31-01-2019,73.8
01-02-2019,73.64
02-02-2019,73.54
03-02-2019,73.43
04-02-2019,73.27
05-02-2019,73.11
06-02-2019,73.11
07-02-2019,73.11
08-02-2019,73.11
09-02-2019,72.95
10-02-2019,72.95
11-02-2019,73
12-02-2019,73
13-02-2019,73
14-02-2019,73.06
15-02-2019,73.14
16-02-2019,73.28
17-02-2019,73.45
18-02-2019,73.61
19-02-2019,73.61
20-02-2019,73.72
21-02-2019,73.87
22-02-2019,73.87
23-02-2019,74.02
24-02-2019,74.16
25-02-2019,74.32
26-02-2019,74.41
27-02-2019,74.41
28-02-2019,74.48
01-03-2019,74.57
02-03-2019,74.71
03-03-2019,74.84
04-03-2019,74.95
05-03-2019,75.02
06-03-2019,75.02
07-03-2019,75.02
08-03-2019,75.02
09-03-2019,75.02
10-03-2019,75.2
11-03-2019,75.19
12-03-2019,75.2
13-03-2019,75.2
14-03-2019,75.27
15-03-2019,75.35
16-03-2019,75.43
17-03-2019,75.52
18-03-2019,75.59
19-03-2019,75.59
20-03-2019,75.59
21-03-2019,75.52
22-03-2019,75.57
23-03-2019,75.62
24-03-2019,75.67
25-03-2019,75.67
26-03-2019,75.67
27-03-2019,75.67
28-03-2019,75.62
29-03-2019,75.62
30-03-2019,75.67
31-03-2019,75.67
01-04-2019,75.62
02-04-2019,75.62
03-04-2019,75.62
04-04-2019,75.62
05-04-2019,75.62
06-04-2019,75.67
07-04-2019,75.62
07-04-2019,75.61
08-04-2019,75.61
09-04-2019,75.56
10-04-2019,75.56
11-04-2019,75.56
12-04-2019,75.62
13-04-2019,75.62
14-04-2019,75.62
15-04-2019,75.75
16-04-2019,75.69
17-04-2019,75.69
18-04-2019,75.69
19-04-2019,75.77
20-04-2019,75.77
21-04-2019,75.71
22-04-2019,75.71
23-04-2019,75.71
24-04-2019,75.71
25-04-2019,75.79
26-04-2019,75.79
27-04-2019,75.85
28-04-2019,75.85
29-04-2019,75.85
30-04-2019,75.9
01-05-2019,75.9
02-05-2019,75.84
03-05-2019,75.84
04-05-2019,75.84
05-05-2019,75.92
06-05-2019,75.79
07-05-2019,75.79
08-05-2019,75.79
09-05-2019,75.63
10-05-2019,75.4
11-05-2019,74.9
12-05-2019,74.46
13-05-2019,74.14
14-05-2019,73.88
15-05-2019,73.88
16-05-2019,73.88
17-05-2019,73.79
18-05-2019,73.72
19-05-2019,73.72
20-05-2019,73.82
21-05-2019,73.87
22-05-2019,73.87
23-05-2019,73.95
24-05-2019,74.1
25-05-2019,74.26
26-05-2019,74.4
27-05-2019,74.51
28-05-2019,74.59
29-05-2019,74.59
30-05-2019,74.54
31-05-2019,74.47
01-06-2019,74.4
02-06-2019,74.28
03-06-2019,74.09
04-06-2019,74.02
05-06-2019,74.02
06-06-2019,73.85
07-06-2019,73.71
08-06-2019,73.48
09-06-2019,73.31
10-06-2019,73.18
11-06-2019,73.18
12-06-2019,73.18
13-06-2019,73.09
